"DRD370A.Code.or.Value","DRD370A.Value.Description","DRD370A.Count","DRD370A.Cumulative","DRD370A.Skip.to.Item"
"1","Yes",855,855,""
"2","No",5095,5950,"DRD370B"
".","Missing",4303,10253,""
