"FSQ400.Code.or.Value","FSQ400.Value.Description","FSQ400.Count","FSQ400.Cumulative","FSQ400.Skip.to.Item"
"1","Yes",218,218,""
"2","No",978,1196,"FSQ420"
"7","Refused",1,1197,"FSQ420"
"9","Don't know",9,1206,"FSQ420"
".","Missing",8916,10122,""
