"URDMNPLC.Code.or.Value","URDMNPLC.Value.Description","URDMNPLC.Count","URDMNPLC.Cumulative","URDMNPLC.Skip.to.Item"
"0","At or above the detection limit",152,152,NA
"1","Below lower detection limit",2453,2605,NA
".","Missing",92,2697,NA
