"LBDTC2LC.Code.or.Value","LBDTC2LC.Value.Description","LBDTC2LC.Count","LBDTC2LC.Cumulative","LBDTC2LC.Skip.to.Item"
"0","detectable result",685,685,NA
"1","below detectable limit",1175,1860,NA
".","Missing",425,2285,NA
