"LBXF10LA.Code.or.Value","LBXF10LA.Value.Description","LBXF10LA.Count","LBXF10LA.Cumulative","LBXF10LA.Skip.to.Item"
"2.3 to 84","Range of Values",1884,1884,NA
".","Missing",390,2274,NA
