"URDPM3LC.Code.or.Value","URDPM3LC.Value.Description","URDPM3LC.Count","URDPM3LC.Cumulative","URDPM3LC.Skip.to.Item"
"0","At or above the detection limit",2159,2159,NA
"1","Below lower detection limit",496,2655,NA
".","Missing",324,2979,NA
