"LBXVEC.Code.or.Value","LBXVEC.Value.Description","LBXVEC.Count","LBXVEC.Cumulative","LBXVEC.Skip.to.Item"
"0.032 to 0.505","Range of Values",2976,2976,NA
".","Missing",290,3266,NA
