"BHQ070.Code.or.Value","BHQ070.Value.Description","BHQ070.Count","BHQ070.Cumulative","BHQ070.Skip.to.Item"
"1","Always",57,57,NA
"2","Most of the time",159,216,NA
"3","Sometimes",1453,1669,NA
"4","Rarely",2157,3826,NA
"5","Never",1440,5266,NA
"7","Refused",1,5267,NA
"9","Don't know",10,5277,NA
".","Missing",782,6059,NA
