"CDQ004.Code.or.Value","CDQ004.Value.Description","CDQ004.Count","CDQ004.Cumulative","CDQ004.Skip.to.Item"
"1","STOP OR SLOW DOWN",280,280,""
"2","CONTINUE AT THE SAME PACE",22,302,"CDQ008"
"7","Refused",0,302,"CDQ008"
"9","Don't know",3,305,"CDQ008"
".","Missing",2994,3299,""
