"URXUUR.Code.or.Value","URXUUR.Value.Description","URXUUR.Count","URXUUR.Cumulative","URXUUR.Skip.to.Item"
"0.0014 to 0.8434","Range of Values",2664,2664,NA
".","Missing",91,2755,NA
