"CSQ140.Code.or.Value","CSQ140.Value.Description","CSQ140.Count","CSQ140.Cumulative","CSQ140.Skip.to.Item"
"1","Less than 3 Months Ago",127,127,NA
"2","3 to 12 Months (1 Yesr) Ago",116,243,NA
"3","1 to 4 years ago",167,410,NA
"4","5 to 9 years ago",113,523,NA
"5","Ten or more years ago",126,649,NA
"7","Refused",8,657,NA
"9","Don't know",99,756,NA
".","Missing",2847,3603,NA
