"URDMHPLC.Code.or.Value","URDMHPLC.Value.Description","URDMHPLC.Count","URDMHPLC.Cumulative","URDMHPLC.Skip.to.Item"
"0","At or above the detection limit",1826,1826,NA
"1","Below lower detection limit",779,2605,NA
".","Missing",92,2697,NA
