"TYXA142.Code.or.Value","TYXA142.Value.Description","TYXA142.Count","TYXA142.Cumulative","TYXA142.Skip.to.Item"
"0.09 to 6.613","Range of Values",7038,7038,NA
".","Missing",1431,8469,NA
