"AUXRR235.Code.or.Value","AUXRR235.Value.Description","AUXRR235.Count","AUXRR235.Cumulative","AUXRR235.Skip.to.Item"
"-30 to 67","Range of Values",1676,1676,NA
".","Missing",131,1807,NA
