"SSGIV1C1.Code.or.Value","SSGIV1C1.Value.Description","SSGIV1C1.Count","SSGIV1C1.Cumulative","SSGIV1C1.Skip.to.Item"
"0 to 100000","Range of Values",867,867,NA
".","Missing",79,946,NA
