"AUDTYR43.Code.or.Value","AUDTYR43.Value.Description","AUDTYR43.Count","AUDTYR43.Cumulative","AUDTYR43.Skip.to.Item"
"0 to 2.47","Range of Values",2160,2160,NA
".","Missing",208,2368,NA
