"AUXLR169.Code.or.Value","AUXLR169.Value.Description","AUXLR169.Count","AUXLR169.Cumulative","AUXLR169.Skip.to.Item"
"-18 to 46","Range of Values",1774,1774,NA
".","Missing",115,1889,NA
