"AUDTYR02.Code.or.Value","AUDTYR02.Value.Description","AUDTYR02.Count","AUDTYR02.Cumulative","AUDTYR02.Skip.to.Item"
"0 to 0.97","Range of Values",1140,1140,NA
".","Missing",70,1210,NA
