"LBXMMASI.Code.or.Value","LBXMMASI.Value.Description","LBXMMASI.Count","LBXMMASI.Cumulative","LBXMMASI.Skip.to.Item"
"26.6 to 5540","Range of Values",5444,5444,NA
".","Missing",292,5736,NA
