"WTDR2D.Code.or.Value","WTDR2D.Value.Description","WTDR2D.Count","WTDR2D.Cumulative","WTDR2D.Skip.to.Item"
"1531.3308619 to 454769.19487","Range of Values",5526,5526,NA
".","Missing",0,5526,NA
