"DS1TVK.Code.or.Value","DS1TVK.Value.Description","DS1TVK.Count","DS1TVK.Cumulative","DS1TVK.Skip.to.Item"
"1 to 5300","Range of Values",1037,1037,NA
".","Missing",8725,9762,NA
