"DR1IATOC.Code.or.Value","DR1IATOC.Value.Description","DR1IATOC.Count","DR1IATOC.Cumulative","DR1IATOC.Skip.to.Item"
"0 to 74.52","Range of Values",130285,130285,NA
".","Missing",879,131164,NA
