"PHQ040.Code.or.Value","PHQ040.Value.Description","PHQ040.Count","PHQ040.Cumulative","PHQ040.Skip.to.Item"
"1","Yes",291,291,NA
"2","No",8059,8350,NA
".","Missing",482,8832,NA
