"SMD070.Code.or.Value","SMD070.Value.Description","SMD070.Count","SMD070.Cumulative","SMD070.Skip.to.Item"
"1 to 90","Range of Values",821,821,NA
"777","Refused",0,821,NA
"999","Don't know",2,823,NA
".","Missing",4057,4880,NA
