"AUXLR259.Code.or.Value","AUXLR259.Value.Description","AUXLR259.Count","AUXLR259.Cumulative","AUXLR259.Skip.to.Item"
"-11 to 64","Range of Values",1664,1664,NA
".","Missing",143,1807,NA
