"DXDSTLE.Code.or.Value","DXDSTLE.Value.Description","DXDSTLE.Count","DXDSTLE.Cumulative","DXDSTLE.Skip.to.Item"
"11772 to 100847.6","Range of Values",3820,3820,NA
".","Missing",1294,5114,NA
