"WTIREP18.Code.or.Value","WTIREP18.Value.Description","WTIREP18.Count","WTIREP18.Cumulative","WTIREP18.Skip.to.Item"
"0 to 237121.73258","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
