"RFXT135.Code.or.Value","RFXT135.Value.Description","RFXT135.Count","RFXT135.Cumulative","RFXT135.Skip.to.Item"
"1176 to 1185","Range of Values",51056,51056,NA
".","Missing",20,51076,NA
