"DXXPT33Y.Code.or.Value","DXXPT33Y.Value.Description","DXXPT33Y.Count","DXXPT33Y.Cumulative","DXXPT33Y.Skip.to.Item"
"91.9 to 266.8","Range of Values",3274,3274,NA
".","Missing",434,3708,NA
