"URX1TB.Code.or.Value","URX1TB.Value.Description","URX1TB.Count","URX1TB.Cumulative","URX1TB.Skip.to.Item"
"0.07 to 7.9","Range of Values",2548,2548,NA
".","Missing",90,2638,NA
