"DR1DAY.Code.or.Value","DR1DAY.Value.Description","DR1DAY.Count","DR1DAY.Cumulative","DR1DAY.Skip.to.Item"
"1","Sunday",24660,24660,NA
"2","Monday",12889,37549,NA
"3","Tuesday",13622,51171,NA
"4","Wednesday",11602,62773,NA
"5","Thursday",14842,77615,NA
"6","Friday",36451,114066,NA
"7","Saturday",31637,145703,NA
".","Missing",0,145703,NA
