"URXPMM.Code.or.Value","URXPMM.Value.Description","URXPMM.Count","URXPMM.Cumulative","URXPMM.Skip.to.Item"
"10.2 to 17000","Range of Values",2356,2356,NA
".","Missing",106,2462,NA
