"DR2TLYCO.Code.or.Value","DR2TLYCO.Value.Description","DR2TLYCO.Count","DR2TLYCO.Cumulative","DR2TLYCO.Skip.to.Item"
"0 to 104091","Range of Values",6875,6875,NA
".","Missing",2669,9544,NA
