"LBXVBF.Code.or.Value","LBXVBF.Value.Description","LBXVBF.Count","LBXVBF.Cumulative","LBXVBF.Skip.to.Item"
"0.006 to 0.139","Range of Values",3046,3046,NA
".","Missing",348,3394,NA
