"OSQ140u.Code.or.Value","OSQ140u.Value.Description","OSQ140u.Count","OSQ140u.Cumulative","OSQ140u.Skip.to.Item"
"1","Month",177,177,NA
"2","Year",96,273,NA
"7","Refused",0,273,NA
"9","Don't know",0,273,NA
".","Missing",5662,5935,NA
