"LBXVTC.Code.or.Value","LBXVTC.Value.Description","LBXVTC.Count","LBXVTC.Cumulative","LBXVTC.Skip.to.Item"
"0.008 to 0.142","Range of Values",2866,2866,NA
".","Missing",306,3172,NA
