"LBXV4C.Code.or.Value","LBXV4C.Value.Description","LBXV4C.Count","LBXV4C.Cumulative","LBXV4C.Skip.to.Item"
"0.0339 to 5.62","Range of Values",2970,2970,NA
".","Missing",519,3489,NA
