"AUDTYR66.Code.or.Value","AUDTYR66.Value.Description","AUDTYR66.Count","AUDTYR66.Cumulative","AUDTYR66.Skip.to.Item"
"0 to 1.03","Range of Values",1140,1140,NA
".","Missing",70,1210,NA
