"LB2MCHSI.Code.or.Value","LB2MCHSI.Value.Description","LB2MCHSI.Count","LB2MCHSI.Cumulative","LB2MCHSI.Skip.to.Item"
"18.4 to 35.6","Range of Values",551,551,NA
".","Missing",6,557,NA
