"DXXPOSTH.Code.or.Value","DXXPOSTH.Value.Description","DXXPOSTH.Count","DXXPOSTH.Cumulative","DXXPOSTH.Skip.to.Item"
"44 to 75.9","Range of Values",3293,3293,NA
".","Missing",415,3708,NA
