"DX2TOPFC.Code.or.Value","DX2TOPFC.Value.Description","DX2TOPFC.Count","DX2TOPFC.Cumulative","DX2TOPFC.Skip.to.Item"
"0","Valid data",414,414,NA
"1","Invalid data",65,479,NA
".","Missing",6,485,NA
