"SDUHIBPL.Code.or.Value","SDUHIBPL.Value.Description","SDUHIBPL.Count","SDUHIBPL.Cumulative","SDUHIBPL.Skip.to.Item"
"0","At or above the detection limit",2187,2187,NA
"1","Below lower detection limit",140,2327,NA
".","Missing",1,2328,NA
