"DR2TPROT.Code.or.Value","DR2TPROT.Value.Description","DR2TPROT.Count","DR2TPROT.Cumulative","DR2TPROT.Skip.to.Item"
"0 to 474.19","Range of Values",7453,7453,NA
".","Missing",2360,9813,NA
