"ENQ010.Code.or.Value","ENQ010.Value.Description","ENQ010.Count","ENQ010.Cumulative","ENQ010.Skip.to.Item"
"1","Yes",47,47,"SPAENA"
"2","No",7828,7875,""
"7","Refused",1,7876,"SPAENA"
"9","Don't know",3,7879,"SPAENA"
".","Missing",316,8195,""
