"DS1IVB6.Code.or.Value","DS1IVB6.Value.Description","DS1IVB6.Count","DS1IVB6.Cumulative","DS1IVB6.Skip.to.Item"
"0.03 to 500","Range of Values",1587,1587,NA
".","Missing",4481,6068,NA
