"RFXT077.Code.or.Value","RFXT077.Value.Description","RFXT077.Count","RFXT077.Cumulative","RFXT077.Skip.to.Item"
"663 to 672","Range of Values",33696,33696,NA
".","Missing",25,33721,NA
