"WBXA037.Code.or.Value","WBXA037.Value.Description","WBXA037.Count","WBXA037.Cumulative","WBXA037.Skip.to.Item"
"-2.294 to 0.9997","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
