"DR2TSUGR.Code.or.Value","DR2TSUGR.Value.Description","DR2TSUGR.Count","DR2TSUGR.Cumulative","DR2TSUGR.Skip.to.Item"
"0 to 874.31","Range of Values",7496,7496,NA
".","Missing",1842,9338,NA
