"LBCF04.Code.or.Value","LBCF04.Value.Description","LBCF04.Count","LBCF04.Cumulative","LBCF04.Skip.to.Item"
"0.765 to 83.9","Range of Values",246,246,NA
".","Missing",1,247,NA
