"RFXC151.Code.or.Value","RFXC151.Value.Description","RFXC151.Count","RFXC151.Cumulative","RFXC151.Skip.to.Item"
"-6.653 to 5.905","Range of Values",33672,33672,NA
".","Missing",49,33721,NA
