"WTSVOC2Y.Code.or.Value","WTSVOC2Y.Value.Description","WTSVOC2Y.Count","WTSVOC2Y.Cumulative","WTSVOC2Y.Skip.to.Item"
"7930.7314837 to 335126.1522","Range of Values",3736,3736,NA
"0","No Lab Result",9,3745,NA
".","Missing",0,3745,NA
