"AIALANGA.Code.or.Value","AIALANGA.Value.Description","AIALANGA.Count","AIALANGA.Cumulative","AIALANGA.Skip.to.Item"
"1","English",4431,4431,NA
"2","Spanish",466,4897,NA
"3","Asian languages",80,4977,NA
".","Missing",4277,9254,NA
