"LBXD01LA.Code.or.Value","LBXD01LA.Value.Description","LBXD01LA.Count","LBXD01LA.Cumulative","LBXD01LA.Skip.to.Item"
"0.7 to 50.8","Range of Values",1236,1236,NA
".","Missing",1311,2547,NA
