"DR2ICAFF.Code.or.Value","DR2ICAFF.Value.Description","DR2ICAFF.Count","DR2ICAFF.Cumulative","DR2ICAFF.Skip.to.Item"
"0 to 1536","Range of Values",99780,99780,NA
".","Missing",900,100680,NA
