"WTDR2D.Code.or.Value","WTDR2D.Value.Description","WTDR2D.Count","WTDR2D.Cumulative","WTDR2D.Skip.to.Item"
"1513.0983763 to 419692.00229","Range of Values",7838,7838,NA
".","Missing",1924,9762,NA
