"DXXBICDE.Code.or.Value","DXXBICDE.Value.Description","DXXBICDE.Count","DXXBICDE.Cumulative","DXXBICDE.Skip.to.Item"
"0.008 to 0.258","Range of Values",3110,3110,NA
".","Missing",598,3708,NA
