"LBXCRP.Code.or.Value","LBXCRP.Value.Description","LBXCRP.Count","LBXCRP.Cumulative","LBXCRP.Skip.to.Item"
"0.02 to 17.5","Range of Values",7093,7093,NA
"0.01","At or below detection limit fill value",1079,8172,NA
".","Missing",1268,9440,NA
