"WBXA102.Code.or.Value","WBXA102.Value.Description","WBXA102.Count","WBXA102.Cumulative","WBXA102.Skip.to.Item"
"-186.6816 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
