"SMQ720.Code.or.Value","SMQ720.Value.Description","SMQ720.Count","SMQ720.Cumulative","SMQ720.Skip.to.Item"
"1 to 60","Range of Values",1273,1273,NA
"95","95 cigarettes or more",1,1274,NA
"777","Refused",0,1274,NA
"999","Don't know",1,1275,NA
".","Missing",6094,7369,NA
