"AUXLR120.Code.or.Value","AUXLR120.Value.Description","AUXLR120.Count","AUXLR120.Cumulative","AUXLR120.Skip.to.Item"
"-40 to 46","Range of Values",1774,1774,NA
".","Missing",115,1889,NA
