"LBCHXCLA.Code.or.Value","LBCHXCLA.Value.Description","LBCHXCLA.Count","LBCHXCLA.Cumulative","LBCHXCLA.Skip.to.Item"
"0.564 to 68.5","Range of Values",246,246,NA
".","Missing",1,247,NA
