"AUDTYR54.Code.or.Value","AUDTYR54.Value.Description","AUDTYR54.Count","AUDTYR54.Cumulative","AUDTYR54.Skip.to.Item"
"0 to 3.84","Range of Values",3840,3840,NA
".","Missing",660,4500,NA
