"RFXT036.Code.or.Value","RFXT036.Value.Description","RFXT036.Count","RFXT036.Cumulative","RFXT036.Skip.to.Item"
"301 to 310","Range of Values",51066,51066,NA
".","Missing",10,51076,NA
