"DR2TTHEO.Code.or.Value","DR2TTHEO.Value.Description","DR2TTHEO.Count","DR2TTHEO.Cumulative","DR2TTHEO.Skip.to.Item"
"0 to 990","Range of Values",6502,6502,NA
".","Missing",2202,8704,NA
